Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin
2020,Fall,C,Fibra Bands,Online,,Wrist Bands w/ Functions,2082,1126,976,0.468780019,2603,-1627,-1246,-484,-0.598463016
2020,Fall,D,Hidden  Gems,Rotated,35,Adventure Packs (Cards with Locations),4385,807,3578,0.815963512,3251,328,179,295,0.040820981
2020,Fall,E,Golden Teton Clay,Rotated,35,Clay jewelry,4140,198,3347,0.808454106,2342,1005,648,1058,0.156521739
2020,Fall,F,Groovy Mama,Rotated,35,Tie-dye Apparel,7189,3909,3280,0.456252608,4538,-1258,-988,289,-0.137432188
2020,Fall,G,Mind Full,Rotated,35,StLibrary Ampitheatreed Jewelry,4126,874,3159,0.765632574,2043,1116,714,966,0.173048958
2020,Fall,H,Gator Gains,Rotated,35,Gator Masks,3981,1609,2372,0.595830193,2343,29,-29,-325,-0.007284602
2021,Winter,A,Ella Rain Jewelry,Online,,Metal Jewlery,2602,868,1734,0.666410453,1179,555,293,396,0.112605688
2021,Winter,B,BeanPatch,Online,,Patch Beanies,9644,4864,4780,0.495644961,1717,3063,2105,2535,0.218270427
2021,Winter,C,Rexburg Life,Online,,Website for housing options ,476,0,476,1,1301,-825,432,815,0.907563025
2021,Winter,D,Cherie Jewlery Co,Rotated,35,Resin Jewlery,2319,364,1954,0.842604571,1872,83,1044,1275,0.450194049
2021,Winter,E,Nomad,Rotated,35,Embroidered Beanies,4695,1784,2912,0.620234292,2470,442,184,192,0.039190628
2021,Winter,F,Bel Arome,Rotated,35,Candels,2814,1335,1479,0.525586354,2102,-624,-537,613,-0.190831557
2021,Winter,G,Social Survival,Rotated,35,Date Night Kits,2712,1295,1417,0.522492625,1786,-369,-404,0,-0.148967552
2021,Winter,H,The Hunt,Rotated,35,Scavenger Hunts,4493,145,4348,0.967727576,2478,1869,1609,2203,0.35811262
2021,Spring,A,Paxil,Online,35,Mexican Woven Fabrics,2841,1965,877,0.308694122,1701,-825,-697,854,-0.245336149
2021,Spring,B,R Home Stickers,Online,35,Stickers,657,377,279,0.424657534,626,-346,-287,100,-0.436834094
2021,Spring,C,EZ Breezy,Online,,Summer Rental ,291,0,291,1,1109,-819,-909,419,-3.12371134
2021,Spring,D,Grungy Goat,Rotated,35,Bleached Tees,6697,1914,4783,0.714200388,3926,857,603,746,0.090040317
2021,Spring,E,Sewly,Rotated,35,Scrunchies,2151,845,1306,0.607159461,1768,-462,-419,1002,-0.194793119
2021,Spring,F,Buzzle,Rotated,35,Bath Bombs,1446,249,1196,0.827109267,1894,-697,-435,280,-0.300829876
2021,Spring,G,Karate Wash,Rotated,35,Car Wash,5674,362,5288,0.931970391,5255,33,-20,1574,-0.00352485
2021,Spring,H,Dunes and Co,Rotated,35,Sand Dyed Tees,7124,2872,4252,0.596855699,3172,1079,655,935,0.091942729
