Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin,Category
2015,Winter,A,Teton Tacos,Smith,,Tacos,,,,,,,,,0%,Food/Drink
2015,Winter,B,43 North,Library Ampitheatre,,Hot Chocolate,"9,718.00","3,778.00","5,940.00",61%,"13,443.00","-7,502.00","-7,502.00","2,363.00",-77%,Food/Drink
2015,Winter,C,Royal,MC,,Apparel,"11,868.00","5,993.00","5,874.00",49%,"1,322.00","4,543.00","3,861.00","1,459.00",33%,Apparel
2015,Winter,D,Shave and Shine,MC,,Apparel,"13,589.00","5,910.00","7,679.00",57%,"5,909.00","1,770.00","1,770.00",,13%,Apparel
,,,,,,,,,,,,,,,,
2015,Winter,F,Johnny's Diner,Clark,,Burgers,"5,135.00",,,,,,"2,411.00",,47%,Food/Drink
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2015,Spring,E,Toasties,,,Food,"16,625.00","8,353.00","8,272.00",50%,"1,809.00","6,462.00","6,462.00",,39%,Food/Drink
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2017,Fall,D,Dough Mama's Kitchen,Smith,$150 ,Kolaches,"7,680.00","3,705.00","3,975.00",52%,"5,746.00","-1,771.00","-1,323.00",,-17%,Food/Drink
2017,Fall,E,Mama's Bistro,STC,$150 ,Panini sandwiches and soup,"15,648.00","6,388.00","9,260.00",59%,"8,640.00",620.00,378.00,,2%,Food/Drink
2017,Fall,F,Wafel Co.,Library Ampitheatre,$35 ,Waffels,"12,637.00","5,738.00","6,899.00",55%,"6,168.00",731.00,438.00,,3%,Food/Drink
2017,Fall,G,Hot Spot,MC,$35 ,Winter Clothes&accessories,"3,033.00","2,396.00",637.00,21%,"2,671.00","-2,034.00","-1,543.00",,-51%,Apparel
2018,Winter,A,Shredded Chicken,Smith,$150 ,Chicken Sandwiches,"16,323.00","6,720.00","9,604.00",59%,"7,332.00","2,272.00","1,783.00","7,461.00",11%,Food/Drink
2018,Winter,B,The Coop,STC,$150 ,Fried Chicken,"18,262.00","9,266.00","8,995.00",49%,"7,186.00","1,809.00","1,222.00","6,252.00",7%,Food/Drink
2018,Winter,C,Soup City,Kimball,$75 ,Soups,"11,128.00","4,622.00","6,506.00",58%,"6,493.00",13.00,-70.00,"3,535.00",-1%,Food/Drink
2018,Winter,D,Patch Co.,MC,$35 ,Customized Hats,"9,093.00","3,902.00","5,190.00",57%,"3,741.00","1,449.00",937.00,"3,574.00",10%,Apparel
2018,Winter,E,Date Box,MC,$35 ,Date Boxes,"6,647.00","4,147.00","2,501.00",38%,"4,042.00","-1,541.00","-1,191.00","1,766.00",-18%,Product
2018,Winter,F,Sawtooth Supply Co,MC,$35 ,Billboard Duffle Bags,"11,023.00","3,094.00","4,162.00",38%,"3,788.00",375.00,332.00,"3,678.00",3%,Product
2018,Winter,G,Bee's Knees,MC,$35 ,Skin Care Products,"7,980.00","2,616.00","5,364.00",67%,"4,243.00","1,121.00",714.00,"3,990.00",9%,Product
2018,Spring,A,Serenity,MC,$35 ,Bath bombs,"3,050.00","1,103.00","1,946.00",64%,"2,907.00",-961.00,-704.00,796.00,-23%,Product
2018,Spring,B,Laurel Bee,MC,$35 ,Jewelry,"4,486.00",932.00,"3,553.00",79%,"2,733.00",821.00,559.00,"2,339.00",12%,Apparel
2018,Spring,C,Honu Life,Courtyard,$35 ,"Hammocks, hats","4,910.00","2,858.00","2,052.00",42%,"3,008.00",956.00,-753.00,"1,229.00",-15%,Product
2018,Spring,D,Shaves,Smith,$150 ,Shaved ice/hot dogs,"3,052.00",682.00,"2,370.00",78%,"5,612.00","-3,242.00","-2,340.00",-691.00,-77%,Food/Drink
2018,Spring,E,Joey & Co,MC,$35 ,Apparel,"3,802.00","2,219.00","1,583.00",42%,"2,905.00","-1,322.00",-978.00,567.00,-26%,Apparel
2018,Spring,F,Jurassic Wraps,Kimball,$75 ,Wraps,"7,481.00","3,653.00","3,828.00",51%,"4,582.00",-753.00,-566.00,"2,160.00",-8%,Food/Drink
2018,Spring,G,Imperial Rice,STC,$150 ,Rice bowls,"9,102.00","5,264.00","3,838.00",42%,"5,423.00","-1,585.00","-1,169.00","3,738.00",-13%,Food/Drink
2018,Spring,H,Fantastic Foods,MC,$35 ,Food packaging and delivery,"3,354.00","3,244.00",110.00,3%,"3,424.00","-3,313.00","-2,402.00","-1,935.00",-72%,Food/Drink
2018,Fall,A,Gnarly Woodworks,MC,$35 ,Wood rings,"8,360.00","1,756.00","6,604.00",79%,"4,816.00","1,788.00","1,280.00","6,130.00",15%,Apparel
2018,Fall,B,Silver Lining,MC,$35 ,Jewelry,"14,475.00","2,419.00","12,056.00",83%,"3,717.00","8,339.00","5,754.00","10,578.00",40%,Apparel
2018,Fall,C,ROFL Games,MC,$35 ,Custom Games,"8,448.00","3,919.00","5,159.00",61%,"1,468.00","1,468.00",998.00,"4,574.00",12%,Product
2018,Fall,D,Lit,MC,$35 ,Candles,"8,276.00","3,153.00","5,123.00",62%,"2,530.00","2,593.00","1,758.00","3,723.00",21%,Product
2018,Fall,E,Copper Kettle,Courtyard,$35 ,"Hot Chocolate, Baked Goods","8,784.00","3,456.00","5,325.00",61%,"4,787.00",538.00,345.00,"3,325.00",4%,Food/Drink
2018,Fall,F,Lunch Box,Smith,$150 ,Sandwiches,"15,264.00","6,521.00","8,742.00",57%,"4,737.00","4,005.00","2,780.00","8,253.00",18%,Food/Drink
2018,Fall,G,Cyber Sliders,STC,$150 ,Slider Sandwiches,"9,446.00","5,102.00","4,344.00",46%,"4,556.00",-213.00,-75.00,"4,354.00",-1%,Food/Drink
2018,Fall,H,Viva la Bowl,Kimball,$75 ,Mexican Salads,"9,919.00","5,460.00","4,458.00",45%,"5,182.00",-723.00,-547.00,"2,509.00",-6%,Food/Drink
2019,Winter,A,The Dunes,STC,$150 ,Grab and Go Sandwiches,"18,838.00","10,821.00","8,017.00",43%,"6,339.00","1,678.00","1,116.00","7,954.00",6%,Food/Drink
2019,Winter,B,Casa de Kimabll,Kimball,$75 ,Street Taco's / Tostadas,"12,743.00","8,001.00","4,743.00",37%,"7,166.00","-2,423.00","-1,742.00","4,151.00",-14%,Food/Drink
2019,Winter,C,Rexadilla,Austin,$35 ,Casadillas,"11,393.00","5,499.00","5,894.00",52%,"5,091.00",802.00,518.00,"4,765.00",5%,Food/Drink
2019,Winter,D,Sweetums,MC,$35 ,Candy,"6,391.00","2,928.00","3,463.00",54%,"3,998.00",-535.00,-417.00,"1,909.00",-7%,Food/Drink
2019,Winter,E,Smith Street Tacos,Smith,$150 ,Street Taco's,"13,100.00","7,515.00","5,585.00",43%,"7,340.00","-1,755.00","-1,309.00","5,709.00",-10%,Food/Drink
2019,Winter,F,Rep-it,MC,$35 ,Custom Apparel,"8,714.00","5,544.00","3,170.00",36%,"5,054.00","-1,884.00","-1,376.00","2,346.00",-16%,Apparel
2019,Winter,G,Bigfoot Stickers,MC,$35 ,Stickers,"4,732.00",912.00,"3,820.00",81%,"3,714.00",106.00,28.00,"2,460.00",1%,Product
2019,Winter,H,VNL,MC,$35 ,Custom Apparel,"7,226.00","2,393.00","4,833.00",67%,"4,687.00",146.00,150.00,"2,772.00",2%,Apparel
2019,Winter,I,Sticker Seal,MC,$35 ,Stickers,"4,719.00","1,830.00","2,889.00",61%,"4,635.00","-1,746.00","-1,293.00","1,948.00",-27%,Product
2019,Spring,A,In The Loop,MC,$35 ,Handmade Ties,"6,684.00","6,327.00",357.00,5%,"4,116.00","-3,759.00","-2,659.00","3,265.00",-40%,Apparel
2019,Spring,B,Phil's Philly Cheese Steaks,Kimball,$75 ,philly cheese steaks,"7,560.00","3,506.00","4,054.00",54%,"7,271.00","-3,217.00","-2,326.00","1,679.00",-31%,Food/Drink
2019,Spring,C,Uncle Pops,Library Ampitheatre,$25 ,italian sodas,"4,612.00","2,347.00","2,265.00",49%,"3,198.00",-933.00,-752.00,950.00,-16%,Food/Drink
2019,Spring,D,The Shack,Smith,$150 ,Hot Dogs and shakes,"9,183.00","3,947.00","5,236.00",57%,"7,191.00","-1,955.00","-1,410.00","2,217.00",-15%,Food/Drink
2019,Spring,E,Boneless Bytes,STC,$150 ,Boneless Chicken wings and Shakes,"13,878.00","7,978.00","5,900.00",43%,"8,376.00","-2,476.00","1,765.00","3,726.00",13%,Food/Drink
2019,Spring,F,Outdoorish,Library Ampitheatre,$35 ,Hammocks and Solar Chargers,"4,845.00","4,257.00",588.00,12%,"3,398.00","-2,810.00","-2,060.00",0.00,-43%,Product
2019,Spring,G,Yellow Stitch,MC,$35 ,Women's Scrunchies,"9,043.00","3,049.00","5,994.00",66%,"3,834.00","2,160.00","1,479.00","6,551.00",16%,Apparel
2019,Spring,H,The Dog House,MC,$25 ,Hot Dogs,"9,088.00","3,249.00","5,839.00",64%,"7,319.00","-1,480.00","-1,084.00","3,333.00",-12%,Food/Drink
2019,Fall,A,Boujee,MC,$35 ,Essential Oils Products,"3,806.00","2,140.00","1,666.00",44%,"2,772.00","-1,106.00",-816.00,286.00,-21%,Product
2019,Fall,B,Toasties,Smith,$150 ,Paninies,"11,973.00","6,906.00","5,067.00",42%,"3,782.00","1,285.00",863.00,"5,959.00",7%,Food/Drink
2019,Fall,C,Bonga Beads,MC,$35 ,Beaded Jewelry,"7,498.00","1,924.00","5,575.00",74%,"4,234.00","1,341.00",911.00,"3,268.00",12%,Apparel
2019,Fall,D,The Shoppe,MC,$35 ,Candles; Plants; Misc,"5,471.00","1,786.00","3,685.00",67%,"2,937.00",748.00,462.00,"1,711.00",8%,Product
2019,Fall,E,"Subtle, Me",MC,$35 ,Custom Jewelry,"6,984.00","2,320.00","4,574.00",65%,"5,895.00","-1,321.00",-978.00,"1,890.00",-14%,Apparel
2019,Fall,F,Batter Up,Library Ampitheatre,$35 ,Waffles Bites,"5,248.00","1,233.00","4,015.00",77%,"5,082.00","-1,067.00",-795.00,"1,955.00",-15%,Food/Drink
2019,Fall,G,Salt Fix,STC,$150 ,Soft Pretzels,"5,697.00","1,436.00","4,261.00",75%,"4,515.00",-254.00,-207.00,"1,660.00",-4%,Food/Drink
2019,Fall,H,Boom! Toasted,Kimball,$75 ,Gourmet Toast,"3,428.00","2,512.00",916.00,27%,"2,360.00","-1,444.00","-1,059.00",-197.00,-31%,Food/Drink
2020,Winter,A,Pop Shop,Library Ampitheatre,$35 ,Mixed drinks,"3,644.00","2,621.00",971.00,27%,"2,046.00","-1,075.00",-812.00,"1,362.00",-22%,Food/Drink
2020,Winter,B,Burro,Smith,$150 ,Breakfast burritos,"6,987.00","3,711.00","3,276.00",47%,"4,663.00","-1,388.00","-1,009.00",735.00,-14%,Food/Drink
2020,Winter,C,Switchback,MC,$35 ,Outdoor apparel,"1,702.00","1,085.00",617.00,36%,"1,554.00",-937.00,-712.00,"1,012.00",-42%,Apparel
2020,Winter,D,Sweet Traditions,MC,$35 ,Recipe jars,"1,604.00","1,760.00",-157.00,-10%,"1,057.00","-1,214.00",-895.00,807.00,-56%,Product
2020,Winter,E,Cozy's,MC,$35 ,Hot chocolate & other,"2,838.00",582.00,"2,256.00",79%,"2,848.00",-592.00,-449.00,712.00,-16%,Food/Drink
2020,Winter,F,Layers,MC,$35 ,Wood jewelry,"2,737.00",350.00,"2,387.00",87%,"2,001.00",386.00,242.00,"1,740.00",9%,Apparel
2020,Winter,G,Sweet Life,MC,$35 ,Confections,"1,894.00",897.00,997.00,53%,"2,092.00","-1,095.00",-809.00,909.00,-43%,Food/Drink
2020,Winter,H,Uli,MC,$35 ,Spoon/coin rings,"4,103.00",423.00,"3,680.00",90%,"3,394.00",286.00,162.00,"1,900.00",4%,Apparel
2020,Winter,I,Taco Town,Kimball,$75 ,Street tacos,"3,208.00","1,936.00","1,676.00",52%,"3,303.00","-1,627.00","-1,198.00",515.00,-37%,Food/Drink
2020,Spring,A,Rexburg Roots,Online,$7 ,Apparel,"3,436.00","2,533.00",904.00,26%,"2,740.00","-1,836.00","-1,430.00",-27.00,-42%,Apparel
2020,Fall,A,Game Box,Online,,Card Games,"2,570.00","1,260.00","1,310.00",51%,"1,345.00",-35.00,-10.00,"1,052.00",0%,Product
2020,Fall,B,Alpacka Box,Online,,Custom Gift Boxes,"4,872.00","2,584.00","2,288.00",47%,"2,013.00",275.00,81.00,60.00,2%,Product
